freq	Re	Im
3.8200000000000	-0.36466244905178	10.067599370706
3.8300000000000	-0.37054647091385	10.067014725673
3.8400000000000	-0.37668561674337	10.065881006077
3.8500000000000	-0.38306811275164	10.064201738105
3.8600000000000	-0.38968232903461	10.061980604294
3.8700000000000	-0.39651678298531	10.059221440149
3.8800000000000	-0.40356014256501	10.055928230654
3.8900000000000	-0.41080122942982	10.052105106663
3.9000000000000	-0.41822902191006	10.047756341189
3.9100000000000	-0.42583265784044	10.042886345602
3.9200000000000	-0.43360143723893	10.037499665731
3.9300000000000	-0.44152482483251	10.031600977886
3.9400000000000	-0.44959245242877	10.025195084808
3.9500000000000	-0.45779412113240	10.018286911548
3.9600000000000	-0.46611980340548	10.010881501285
3.9700000000000	-0.47455964497169	10.002984011095
