freq	A
4.6900000000000	0.9642181
4.7000000000000	0.9639115
4.7100000000000	0.9636051
4.7200000000000	0.9632990
4.7300000000000	0.9629932
4.7400000000000	0.9626877
4.7500000000000	0.9623825
4.7600000000000	0.9620778
4.7700000000000	0.9617735
4.7800000000000	0.9614697
4.7900000000000	0.9611663
4.8000000000000	0.9608635
4.8100000000000	0.9605612
4.8200000000000	0.9602595
4.8300000000000	0.9599584
4.8400000000000	0.9596580
4.8500000000000	0.9593581
4.8600000000000	0.9590590
4.8700000000000	0.9587606
4.8800000000000	0.9584629
4.8900000000000	0.9581659
4.9000000000000	0.9578697
4.9100000000000	0.9575743
4.9200000000000	0.9572797
4.9300000000000	0.9569860
4.9400000000000	0.9566931
4.9500000000000	0.9564010
4.9600000000000	0.9561099
4.9700000000000	0.9558197
