#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Frequency / GHz"	"SZmax(2),Zmax(1) [Magnitude / dB]"
#-----------------------------------------------------
5.1100000000000	-73.861969268020
5.1200000000000	-73.856530944905
5.1300000000000	-73.851016081645
5.1400000000000	-73.845424943804
5.1500000000000	-73.839757796882
5.1600000000000	-73.834014906239
5.1700000000000	-73.828196537026
5.1800000000000	-73.822302954112
5.1900000000000	-73.816334422017
5.2000000000000	-73.810291204843
5.2100000000000	-73.804173566218
5.2200000000000	-73.797981769225
5.2300000000000	-73.791716076348
5.2400000000000	-73.785376749414
5.2500000000000	-73.778964049537
5.2600000000000	-73.772478237062
5.2700000000000	-73.765919571517
5.2800000000000	-73.759288311562
5.2900000000000	-73.752584714939
5.3000000000000	-73.745809038429
5.3100000000000	-73.738961537806
5.3200000000000	-73.732042467793
5.3300000000000	-73.725052082024
5.3400000000000	-73.717990633002
5.3500000000000	-73.710858372066
5.3600000000000	-73.703655549346
5.3700000000000	-73.696382413740
5.3800000000000	-73.689039212872
5.3900000000000	-73.681626193064
5.4000000000000	-73.674143599308
5.4100000000000	-73.666591675234
5.4200000000000	-73.658970663085
5.4300000000000	-73.651280803693
5.4400000000000	-73.643522336451
5.4500000000000	-73.635695499292
5.4600000000000	-73.627800528670
5.4700000000000	-73.619837659537
5.4800000000000	-73.611807125323
5.4900000000000	-73.603709157921
5.5000000000000	-73.595543987672
5.5100000000000	-73.587311843344
5.5200000000000	-73.579012952125
5.5300000000000	-73.570647539605
5.5400000000000	-73.562215829767
5.5500000000000	-73.553718044975
5.5600000000000	-73.545154405967
5.5700000000000	-73.536525131844
5.5800000000000	-73.527830440064
5.5900000000000	-73.519070546436
5.6000000000000	-73.510245665115
5.6100000000000	-73.501356008597
5.6200000000000	-73.492401787717
5.6300000000000	-73.483383211646
5.6400000000000	-73.474300487890
5.6500000000000	-73.465153822290
5.6600000000000	-73.455943419024
5.6700000000000	-73.446669480604
5.6800000000000	-73.437332207885
5.6900000000000	-73.427931800064
5.7000000000000	-73.418468454686
5.7100000000000	-73.408942367648
5.7200000000000	-73.399353733206
5.7300000000000	-73.389702743980
5.7400000000000	-73.379989590966
5.7500000000000	-73.370214463539
5.7600000000000	-73.360377549465
5.7700000000000	-73.350479034910
5.7800000000000	-73.340519104452
5.7900000000000	-73.330497941091
5.8000000000000	-73.320415726263
5.8100000000000	-73.310272639849
5.8200000000000	-73.300068860194
5.8300000000000	-73.289804564116
5.8400000000000	-73.279479926924
5.8500000000000	-73.269095122435
5.8600000000000	-73.258650322984
5.8700000000000	-73.248145699449
5.8800000000000	-73.237581421262
5.8900000000000	-73.226957656430
5.9000000000000	-73.216274571555
5.9100000000000	-73.205532331850
5.9200000000000	-73.194731101160
5.9300000000000	-73.183871041984
5.9400000000000	-73.172952315496
5.9500000000000	-73.161975081563
5.9600000000000	-73.150939498772
5.9700000000000	-73.139845724450
5.9800000000000	-73.128693914685
5.9900000000000	-73.117484224356
6.0000000000000	-73.106216807151
6.0100000000000	-73.094891815593
6.0200000000000	-73.083509401067
6.0300000000000	-73.072069713846
6.0400000000000	-73.060572903114
6.0500000000000	-73.049019116992
6.0600000000000	-73.037408502571
