freq	A
4.4900000000000	0.971646
4.5000000000000	0.971345
4.5100000000000	0.971042
4.5200000000000	0.970739
4.5300000000000	0.970436
4.5400000000000	0.970131
4.5500000000000	0.969827
4.5600000000000	0.969521
4.5700000000000	0.969216
4.5800000000000	0.968909
4.5900000000000	0.968603
4.6000000000000	0.968296
4.6100000000000	0.967989
4.6200000000000	0.967682
4.6300000000000	0.967375
4.6400000000000	0.967068
4.6500000000000	0.966761
4.6600000000000	0.966453
4.6700000000000	0.966146
4.6800000000000	0.965839
4.6900000000000	0.965532
4.7000000000000	0.965226
4.7100000000000	0.964919
4.7200000000000	0.964613
4.7300000000000	0.964307
4.7400000000000	0.964001
4.7500000000000	0.963696
4.7600000000000	0.963391
4.7700000000000	0.963087
4.7800000000000	0.962783
4.7900000000000	0.962479
4.8000000000000	0.962176
4.8100000000000	0.961874
4.8200000000000	0.961572
4.8300000000000	0.961271
4.8400000000000	0.960971
