freq	z_Re	z_Im
3.8100000000000	1.1424199081226	-0.22196930181025
3.8200000000000	1.1393552839193	-0.22333466089415
3.8300000000000	1.1363585599930	-0.22473064266866
3.8400000000000	1.1334289028425	-0.22615606379103
3.8500000000000	1.1305654882555	-0.22760977995281
3.8600000000000	1.1277675015726	-0.22909068448492
3.8700000000000	1.1250341379164	-0.23059770701109
3.8800000000000	1.1223646023908	-0.23212981214827
3.8900000000000	1.1197581102509	-0.23368599825257
3.9000000000000	1.1172138870464	-0.23526529620913
3.9100000000000	1.1147311687403	-0.23686676826460
3.9200000000000	1.1123092018045	-0.23848950690087
3.9300000000000	1.1099472432951	-0.24013263374858
3.9400000000000	1.1076445609070	-0.24179529853911
3.9500000000000	1.1054004330115	-0.24347667809387
3.9600000000000	1.1032141486767	-0.24517597534943
