#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"R_Zmax(1),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
24858412.769486	-10.902585255527
24879042.157676	-10.935923130324
24899705.813953	-10.969079547034
24920403.823774	-11.002052246625
24941136.272879	-11.034838977151
24961903.247294	-11.067437494462
24982704.833333	-11.099845562933
25003541.117598	-11.132060956198
25024412.186978	-11.164081457903
25045318.128655	-11.195904862467
25066259.030100	-11.227528975854
25087234.979079	-11.258951616362
25108246.063652	-11.290170615417
25129292.372171	-11.321183818376
25150373.993289	-11.351989085346
25171491.015953	-11.382584292002
25192643.529412	-11.412967330427
25213831.623213	-11.443136109942
25235055.387205	-11.473088557960
25256314.911542	-11.502822620834
25277610.286678	-11.532336264719
25298941.603376	-11.561627476428
25320308.952703	-11.590694264307
25341712.426035	-11.619534659098
25363152.115059	-11.648146714818
25384628.111770	-11.676528509625
25406140.508475	-11.704678146702
25427689.397795	-11.732593755126
25449274.872666	-11.760273490744
25470897.026338	-11.787715537046
25492555.952381	-11.814918106033
25514251.744681	-11.841879439087
25535984.497445	-11.868597807830
25557754.305200	-11.895071514982
25579561.262799	-11.921298895212
25601405.465414	-11.947278315982
25623287.008547	-11.973008178381
25645205.988024	-11.998486917954
25667162.500000	-12.023713005517
25689156.640960	-12.048684947964
25711188.507719	-12.073401289061
25733258.197425	-12.097860610229
25755365.807560	-12.122061531309
25777511.435942	-12.146002711322
25799695.180723	-12.169682849198
25821917.140396	-12.193100684508
25844177.413793	-12.216254998161
25866476.100086	-12.239144613097
25888813.298791	-12.261768394952
25911189.109767	-12.284125252704
25933603.633218	-12.306214139308
25956056.969697	-12.328034052294
25978549.220104	-12.349584034358
26001080.485690	-12.370863173919
26023650.868056	-12.391870605661
26046260.469157	-12.412605511042
26068909.391304	-12.433067118786
26091597.737163	-12.453254705344
26114325.609756	-12.473167595329
26137093.112467	-12.492805161931
26159900.349040	-12.512166827292
26182747.423581	-12.531252062868
26205634.440559	-12.550060389746
26228561.504812	-12.568591378947
26251528.721541	-12.586844651692
26274536.196319	-12.604819879638
26297584.035088	-12.622516785087
26320672.344162	-12.639935141162
26343801.230228	-12.657074771954
26366970.800352	-12.673935552638
26390181.161972	-12.690517409557
26413432.422907	-12.706820320274
26436724.691358	-12.722844313596
26460058.075905	-12.738589469562
26483432.685512	-12.754055919405
26506848.629531	-12.769243845476
26530306.017699	-12.784153481144
26553804.960142	-12.798785110660
26577345.567376	-12.813139068989
26600927.950311	-12.827215741615
26624552.220249	-12.841015564312
26648218.488889	-12.854539022891
26671926.868327	-12.867786652903
26695677.471060	-12.880759039332
26719470.409982	-12.893456816238
26743305.798394	-12.905880666387
26767183.750000	-12.918031320848
26791104.378910	-12.929909558553
26815067.799642	-12.941516205845
26839074.127126	-12.952852135989
26863123.476703	-12.963918268655
26887215.964126	-12.974715569387
26911351.705566	-12.985245049031
26935530.817610	-12.995507763155
