#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
26577345.567376	-54.862070144988
26600927.950311	-54.868972419793
26624552.220249	-54.875912938549
26648218.488889	-54.882891475871
26671926.868327	-54.889907809211
26695677.471060	-54.896961718763
26719470.409982	-54.904052987371
26743305.798394	-54.911181400428
26767183.750000	-54.918346745792
26791104.378910	-54.925548813689
26815067.799642	-54.932787396626
26839074.127126	-54.940062289303
26863123.476703	-54.947373288528
26887215.964126	-54.954720193130
26911351.705566	-54.962102803878
26935530.817610	-54.969520923400
26959753.417266	-54.976974356102
26984019.621962	-54.984462908088
27008329.549550	-54.991986387088
27032683.318305	-54.999544602376
27057081.046931	-55.007137364704
27081522.854562	-55.014764486223
27106008.860759	-55.022425780418
27130539.185520	-55.030121062032
27155113.949275	-55.037850147005
27179733.272892	-55.045612852406
27204397.277677	-55.053408996366
27229106.085377	-55.061238398016
27253859.818182	-55.069100877427
27278658.598726	-55.076996255547
27303502.550091	-55.084924354145
27328391.795807	-55.092884995752
27353326.459854	-55.100878003603
27378306.666667	-55.108903201590
27403332.541133	-55.116960414198
27428404.208600	-55.125049466463
27453521.794872	-55.133170183918
27478685.426214	-55.141322392541
27503895.229358	-55.149505918714
27529151.331497	-55.157720589172
27554453.860294	-55.165966230960
27579802.943882	-55.174242671388
27605198.710866	-55.182549737993
27630641.290323	-55.190887258492
27656130.811808	-55.199255060747
27681667.405355	-55.207652972728
27707251.201479	-55.216080822471
27732882.331175	-55.224538438045
27758560.925926	-55.233025647519
27784287.117702	-55.241542278927
27810061.038961	-55.250088160237
27835882.822656	-55.258663119318
27861752.602230	-55.267266983914
27887670.511628	-55.275899581612
27913636.685289	-55.284560739819
27939651.258155	-55.293250285731
27965714.365672	-55.301968046313
27991826.143791	-55.310713848271
28017986.728972	-55.319487518031
28044196.258185	-55.328288881720
28070454.868914	-55.337117765141
28096762.699157	-55.345973993756
28123119.887430	-55.354857392667
28149526.572770	-55.363767786600
28175982.894737	-55.372704999886
28202488.993415	-55.381668856450
28229045.009416	-55.390659179791
28255651.083883	-55.399675792973
28282307.358491	-55.408718518611
28309013.975449	-55.417787178861
28335771.077505	-55.426881595408
28362578.807947	-55.436001589455
28389437.310606	-55.445146981718
28416346.729858	-55.454317592416
28443307.210626	-55.463513241264
28470318.898386	-55.472733747469
28497381.939163	-55.481978929720
28524496.479543	-55.491248606192
28551662.666667	-55.500542594532
28578880.648236	-55.509860711865
28606150.572519	-55.519202774787
28633472.588348	-55.528568599367
28660846.845124	-55.537958001145
28688273.492823	-55.547370795129
28715752.681992	-55.556806795804
28743284.563758	-55.566265817127
28770869.289827	-55.575747672532
28798507.012488	-55.585252174931
28826197.884615	-55.594779136722
28853942.059673	-55.604328369790
28881739.691715	-55.613899685513
28909590.935391	-55.623492894768
28937495.945946	-55.633107807938
28965454.879227	-55.642744234916
28993467.891683	-55.652401985116
29021535.140368	-55.662080867480
29049656.782946	-55.671780690486
