#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
74948114.500000	-62.503963281998
75135954.385965	-62.517107055888
75324738.190955	-62.530208257222
75514473.047859	-62.543272089269
75705166.161616	-62.556303641320
75896824.810127	-62.569307900303
76089456.345178	-62.582289761661
76283068.193384	-62.595254039581
76477667.857143	-62.608205476586
76673262.915601	-62.621148752575
76869861.025641	-62.634088493319
77067469.922879	-62.647029278467
77266097.422680	-62.659975649095
77465751.421189	-62.672932114827
77666439.896373	-62.685903160563
77868170.909091	-62.698893252826
78070952.604167	-62.711906845777
78274793.211488	-62.724948386888
78479701.047120	-62.738022322324
78685684.514436	-62.751133102037
78892752.105263	-62.764285184581
79100912.401055	-62.777483041686
79310174.074074	-62.790731162578
79520545.888594	-62.804034058084
79732036.702128	-62.817396264508
79944655.466667	-62.830822347304
80158411.229947	-62.844316904551
80373313.136729	-62.857884570236
80589370.430108	-62.871530017352
80806592.452830	-62.885257960818
81024988.648649	-62.899073160225
81244568.563686	-62.912980422418
81465341.847826	-62.926984603899
81687318.256131	-62.941090613088
81910507.650273	-62.955303412404
82134920.000000	-62.969628020196
82360565.384615	-62.984069512519
82587453.994490	-62.998633024748
82815596.132597	-63.013323753034
83045002.216066	-63.028146955605
83275682.777778	-63.043107953906
83507648.467967	-63.058212133583
83740910.055866	-63.073464945296
83975478.431373	-63.088871905377
84211364.606742	-63.104438596319
84448579.718310	-63.120170667087
84687135.028249	-63.136073833270
84927041.926346	-63.152153877044
85168311.931818	-63.168416646961
85410956.695157	-63.184868057557
85654988.000000	-63.201514088761
85900417.765043	-63.218360785125
86147258.045977	-63.235414254844
86395521.037464	-63.252680668586
86645219.075145	-63.270166258105
86896364.637681	-63.287877314653
87148970.348837	-63.305820187167
87403048.979592	-63.324001280239
87658613.450292	-63.342427051864
87915676.832845	-63.361104010950
88174252.352941	-63.380038714599
88434353.392330	-63.399237765147
88695993.491124	-63.418707806959
88959186.350148	-63.438455522973
89223945.833333	-63.458487631000
89490285.970149	-63.478810879761
89758220.958084	-63.499432044667
90027765.165165	-63.520357923339
90298933.132530	-63.541595330859
90571739.577039	-63.563151094759
90846199.393939	-63.585032049740
91122327.659574	-63.607245032118
91400139.634146	-63.629796874004
91679650.764526	-63.652694397216
91960876.687117	-63.675944406913
92243833.230769	-63.699553684972
92528536.419753	-63.723528983090
92815002.476780	-63.747877015632
93103247.826087	-63.772604452211
93393289.096573	-63.797717910022
93685143.125000	-63.823223945925
93978826.959248	-63.849129048282
94274357.861635	-63.875439628564
94571753.312303	-63.902162012731
94871031.012658	-63.929302432394
95172208.888889	-63.956867015774
95475305.095541	-63.984861778460
95780338.019169	-64.013292613993
96087326.282051	-64.042165284278
96396288.745981	-64.071485409838
96707244.516129	-64.101258459941
97020212.944984	-64.131489742596
97335213.636364	-64.162184394451
97652266.449511	-64.193347370608
97971391.503268	-64.224983434370
98292609.180328	-64.257097146949
98615940.131579	-64.289692857148
98941405.280528	-64.322774691052
99269025.827815	-64.356346541734
99598823.255814	-64.390412059020
99930819.333333	-64.424974639317
100265036.12040	-64.460037415554
100601495.97315	-64.495603247236
100940221.54882	-64.531674710658
101281235.81081	-64.568254089292
101624562.03390	-64.605343364390
101970223.80952	-64.642944205808
102318245.05119	-64.681057963099
102668650.00000	-64.719685656893
103021463.23024	-64.758827970590
103376709.65517	-64.798485242396
103734414.53287	-64.838657457729
104094603.47222	-64.879344242016
104457302.43902	-64.920544853918
104822537.76224	-64.962258178987
105190336.14035	-65.004482723802
105560724.64789	-65.047216610593
105933730.74205	-65.090457572376
106309382.26950	-65.134202948622
106687707.47331	-65.178449681482
107068735.00000	-65.223194312581
107452493.90681	-65.268432980394
107839013.66906	-65.314161418235
108228324.18773	-65.360374952855
108620455.79710	-65.407068503665
109015439.27273	-65.454236582604
109413305.83942	-65.501873294645
109814087.17949	-65.549972338961
110217815.44118	-65.598527010741
110624523.24723	-65.647530203668
111034243.70370	-65.696974413060
