lambda	A
27529151.331497	0.95175207763879
27554453.860294	0.95179708408588
27579802.943882	0.95183954225943
27605198.710866	0.95187948069155
27630641.290323	0.95191692768433
27656130.811808	0.95195191131166
27681667.405355	0.95198445942107
27707251.201479	0.95201459963554
27732882.331175	0.95204235935526
27758560.925926	0.95206776575945
27784287.117702	0.95209084580809
27810061.038961	0.95211162624367
27835882.822656	0.95213013359292
27861752.602230	0.95214639416856
27887670.511628	0.95216043407094
27913636.685289	0.95217227918980
27939651.258155	0.95218195520586
27965714.365672	0.95218948759257
27991826.143791	0.95219490161768
28017986.728972	0.95219822234490
28044196.258185	0.95219947463554
28070454.868914	0.95219868315008
28096762.699157	0.95219587234975
28123119.887430	0.95219106649816
28149526.572770	0.95218428966282
28175982.894737	0.95217556571668
28202488.993415	0.95216491833973
28229045.009416	0.95215237102044
28255651.083883	0.95213794705734
28282307.358491	0.95212166956050
28309013.975449	0.95210356145298
28335771.077505	0.95208364547236
28362578.807947	0.95206194417216
28389437.310606	0.95203847992333
28416346.729858	0.95201327491564
28443307.210626	0.95198635115914
28470318.898386	0.95195773048558
28497381.939163	0.95192743454977
28524496.479543	0.95189548483103
28551662.666667	0.95186190263452
28578880.648236	0.95182670909266
28606150.572519	0.95178992516642
28633472.588348	0.95175157164674
28660846.845124	0.95171166915582
28688273.492823	0.95167023814848
28715752.681992	0.95162729891342
28743284.563758	0.95158287157461
28770869.289827	0.95153697609249
28798507.012488	0.95148963226534
28826197.884615	0.95144085973050
28853942.059673	0.95139067796567
28881739.691715	0.95133910629012
28909590.935391	0.95128616386601
28937495.945946	0.95123186969953
28965454.879227	0.95117624264222
28993467.891683	0.95111930139214
29021535.140368	0.95106106449507
29049656.782946	0.95100155034573
29077832.977692	0.95094077718899
29106063.883495	0.95087876312099
29134349.659864	0.95081552609038
29162690.466926	0.95075108389944
29191086.465433	0.95068545420526
29219537.816764	0.95061865452089
29248044.682927	0.95055070221643
29276607.226562	0.95048161452024
29305225.610948	0.95041140852001
29333900.000000	0.95034010116387
29362630.558276	0.95026770926154
29391417.450980	0.95019424948539
29420260.843965	0.95011973837154
29449160.903733	0.95004419232095
29478117.797443	0.94996762760051
29507131.692913	0.94989006034408
