#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude]"
#-------------------------------------------------
28202488.993415	3.1099209939570e-07
28229045.009416	3.0979783286315e-07
28255651.083883	3.0860763606974e-07
28282307.358491	3.0742149590060e-07
28309013.975449	3.0623939892296e-07
28335771.077505	3.0506133140201e-07
28362578.807947	3.0388727931635e-07
28389437.310606	3.0271722837317e-07
28416346.729858	3.0155116402305e-07
28443307.210626	3.0038907147440e-07
28470318.898386	2.9923093570765e-07
28497381.939163	2.9807674148904e-07
28524496.479543	2.9692647338414e-07
28551662.666667	2.9578011577099e-07
28578880.648236	2.9463765285303e-07
28606150.572519	2.9349906867164e-07
28633472.588348	2.9236434711841e-07
28660846.845124	2.9123347194709e-07
28688273.492823	2.9010642678530e-07
28715752.681992	2.8898319514589e-07
28743284.563758	2.8786376043806e-07
28770869.289827	2.8674810597818e-07
28798507.012488	2.8563621500033e-07
28826197.884615	2.8452807066658e-07
28853942.059673	2.8342365607700e-07
28881739.691715	2.8232295427943e-07
28909590.935391	2.8122594827892e-07
28937495.945946	2.8013262104701e-07
28965454.879227	2.7904295553069e-07
28993467.891683	2.7795693466116e-07
29021535.140368	2.7687454136228e-07
29049656.782946	2.7579575855886e-07
29077832.977692	2.7472056918469e-07
29106063.883495	2.7364895619030e-07
29134349.659864	2.7258090255052e-07
29162690.466926	2.7151639127186e-07
29191086.465433	2.7045540539960e-07
29219537.816764	2.6939792802468e-07
29248044.682927	2.6834394229041e-07
29276607.226562	2.6729343139896e-07
29305225.610948	2.6624637861761e-07
29333900.000000	2.6520276728484e-07
29362630.558276	2.6416258081619e-07
29391417.450980	2.6312580270997e-07
29420260.843965	2.6209241655271e-07
29449160.903733	2.6106240602447e-07
29478117.797443	2.6003575490398e-07
29507131.692913	2.5901244707352e-07
29536202.758621	2.5799246652372e-07
29565331.163708	2.5697579735810e-07
29594517.077986	2.5596242379749e-07
29623760.671937	2.5495233018426e-07
29653062.116716	2.5394550098637e-07
29682421.584158	2.5294192080130e-07
29711839.246779	2.5194157435974e-07
29741315.277778	2.5094444652922e-07
29770849.851043	2.4995052231753e-07
29800443.141153	2.4895978687595e-07
29830095.323383	2.4797222550240e-07
29859806.573705	2.4698782364444e-07
29889577.068794	2.4600656690204e-07
29919406.986028	2.4502844103032e-07
29949296.503496	2.4405343194206e-07
29979245.800000	2.4308152571014e-07
30009255.055055	2.4211270856981e-07
30039324.448898	2.4114696692080e-07
30069454.162487	2.4018428732939e-07
30099644.377510	2.3922465653023e-07
30129895.276382	2.3826806142818e-07
30160207.042254	2.3731448909988e-07
30190579.859013	2.3636392679531e-07
30221013.911290	2.3541636193916e-07
30251509.384460	2.3447178213217e-07
30282066.464646	2.3353017515222e-07
30312685.338726	2.3259152895548e-07
30343366.194332	2.3165583167729e-07
30374109.219858	2.3072307163303e-07
30404914.604462	2.2979323731888e-07
