#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"R_Zmax(1),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
25956056.969697	-11.979636934931
25978549.220104	-11.996434732869
26001080.485690	-12.012980310368
26023650.868056	-12.029273769868
26046260.469157	-12.045315256858
26068909.391304	-12.061104959739
26091597.737163	-12.076643109678
26114325.609756	-12.091929980431
26137093.112467	-12.106965888142
26159900.349040	-12.121751191129
26182747.423581	-12.136286289632
26205634.440559	-12.150571625546
26228561.504812	-12.164607682139
26251528.721541	-12.178394983733
26274536.196319	-12.191934095372
26297584.035088	-12.205225622473
26320672.344162	-12.218270210445
26343801.230228	-12.231068544295
26366970.800352	-12.243621348214
26390181.161972	-12.255929385144
26413432.422907	-12.267993456317
26436724.691358	-12.279814400790
26460058.075905	-12.291393094950
26483432.685512	-12.302730452010
26506848.629531	-12.313827421481
26530306.017699	-12.324684988633
26553804.960142	-12.335304173939
26577345.567376	-12.345686032501
26600927.950311	-12.355831653467
26624552.220249	-12.365742159429
26648218.488889	-12.375418705811
26671926.868327	-12.384862480243
26695677.471060	-12.394074701923
26719470.409982	-12.403056620969
26743305.798394	-12.411809517758
26767183.750000	-12.420334702261
26791104.378910	-12.428633513358
26815067.799642	-12.436707318155
26839074.127126	-12.444557511288
26863123.476703	-12.452185514220
26887215.964126	-12.459592774533
26911351.705566	-12.466780765212
26935530.817610	-12.473750983923
26959753.417266	-12.480504952292
26984019.621962	-12.487044215174
27008329.549550	-12.493370339919
27032683.318305	-12.499484915640
27057081.046931	-12.505389552476
27081522.854562	-12.511085880848
27106008.860759	-12.516575550729
27130539.185520	-12.521860230895
27155113.949275	-12.526941608192
27179733.272892	-12.531821386796
27204397.277677	-12.536501287475
27229106.085377	-12.540983046855
27253859.818182	-12.545268416688
27278658.598726	-12.549359163123
27303502.550091	-12.553257065980
27328391.795807	-12.556963918030
27353326.459854	-12.560481524276
27378306.666667	-12.563811701243
27403332.541133	-12.566956276273
27428404.208600	-12.569917086822
27453521.794872	-12.572695979767
27478685.426214	-12.575294810721
27503895.229358	-12.577715443353
27529151.331497	-12.579959748712
27554453.860294	-12.582029604568
27579802.943882	-12.583926894752
27605198.710866	-12.585653508512
27630641.290323	-12.587211339869
27656130.811808	-12.588602286994
27681667.405355	-12.589828251585
27707251.201479	-12.590891138254
27732882.331175	-12.591792853933
27758560.925926	-12.592535307278
27784287.117702	-12.593120408092
27810061.038961	-12.593550066754
27835882.822656	-12.593826193665
27861752.602230	-12.593950698693
27887670.511628	-12.593925490643
27913636.685289	-12.593752476728
27939651.258155	-12.593433562057
27965714.365672	-12.592970649130
27991826.143791	-12.592365637348
28017986.728972	-12.591620422533
28044196.258185	-12.590736896462
28070454.868914	-12.589716946404
28096762.699157	-12.588562454686
28123119.887430	-12.587275298247
28149526.572770	-12.585857348229
28175982.894737	-12.584310469559
28202488.993415	-12.582636520553
28229045.009416	-12.580837352533
28255651.083883	-12.578914809446
28282307.358491	-12.576870727510
28309013.975449	-12.574706934853
28335771.077505	-12.572425251179
28362578.807947	-12.570027487439
28389437.310606	-12.567515445511
28416346.729858	-12.564890917896
28443307.210626	-12.562155687423
28470318.898386	-12.559311526966
28497381.939163	-12.556360199169
28524496.479543	-12.553303456184
28551662.666667	-12.550143039425
28578880.648236	-12.546880679318
28606150.572519	-12.543518095080
28633472.588348	-12.540056994491
28660846.845124	-12.536499073691
28688273.492823	-12.532846016976
28715752.681992	-12.529099496607
28743284.563758	-12.525261172635
28770869.289827	-12.521332692724
28798507.012488	-12.517315691994
28826197.884615	-12.513211792866
28853942.059673	-12.509022604921
28881739.691715	-12.504749724764
28909590.935391	-12.500394735899
28937495.945946	-12.495959208614
28965454.879227	-12.491444699869
28993467.891683	-12.486852753194
29021535.140368	-12.482184898605
29049656.782946	-12.477442652509
29077832.977692	-12.472627517633
29106063.883495	-12.467740982952
29134349.659864	-12.462784523630
29162690.466926	-12.457759600960
29191086.465433	-12.452667662318
29219537.816764	-12.447510141122
29248044.682927	-12.442288456797
29276607.226562	-12.437004014746
29305225.610948	-12.431658206327
29333900.000000	-12.426252408838
29362630.558276	-12.420787985504
29391417.450980	-12.415266285477
29420260.843965	-12.409688643833
29449160.903733	-12.404056381579
29478117.797443	-12.398370805665
29507131.692913	-12.392633209001
29536202.758621	-12.386844870476
29565331.163708	-12.381007054988
29594517.077986	-12.375121013470
29623760.671937	-12.369187982928
29653062.116716	-12.363209186481
29682421.584158	-12.357185833401
29711839.246779	-12.351119119164
29741315.277778	-12.345010225498
29770849.851043	-12.338860320441
29800443.141153	-12.332670558397
29830095.323383	-12.326442080197
29859806.573705	-12.320176013167
29889577.068794	-12.313873471193
29919406.986028	-12.307535554795
29949296.503496	-12.301163351198
29979245.800000	-12.294757934411
