freq	mu_eff
4.8400000000000	6.424802
4.8500000000000	6.421578
4.8600000000000	6.418315
4.8700000000000	6.415012
4.8800000000000	6.411669
4.8900000000000	6.408286
4.9000000000000	6.404863
4.9100000000000	6.401400
4.9200000000000	6.397896
4.9300000000000	6.394353
4.9400000000000	6.390768
4.9500000000000	6.387144
4.9600000000000	6.383479
4.9700000000000	6.379773
4.9800000000000	6.376027
4.9900000000000	6.372240
5.0000000000000	6.368413
5.0100000000000	6.364546
5.0200000000000	6.360638
5.0300000000000	6.356689
5.0400000000000	6.352701
5.0500000000000	6.348672
5.0600000000000	6.344604
5.0700000000000	6.340495
5.0800000000000	6.336347
5.0900000000000	6.332158
5.1000000000000	6.327931
5.1100000000000	6.323663
5.1200000000000	6.319357
5.1300000000000	6.315011
5.1400000000000	6.310627
