freq	epsilon_Re	epsilon_Im
3.8100000000000	-3.1910673562290	8.0098419155689
3.8200000000000	-3.1891146731766	8.0032452173262
3.8300000000000	-3.1872430309200	7.9961882295823
3.8400000000000	-3.1854447075103	7.9886772503260
3.8500000000000	-3.1837121391746	7.9807186115753
3.8600000000000	-3.1820379210562	7.9723186760737
3.8700000000000	-3.1804148078230	7.9634838339172
3.8800000000000	-3.1788357141448	7.9542204991175
3.8900000000000	-3.1772937150371	7.9445351061034
3.9000000000000	-3.1757820460697	7.9344341061639
3.9100000000000	-3.1742941034392	7.9239239638376
3.9200000000000	-3.1728234439045	7.9130111532486
3.9300000000000	-3.1713637845827	7.9017021543943
3.9400000000000	-3.1699090026050	7.8900034493840
3.9500000000000	-3.1684531346299	7.8779215186335
3.9600000000000	-3.1669903762129	7.8654628370148
