freq	epsilon_eff
3.7900000000000	4.260636
3.8000000000000	4.251570
3.8100000000000	4.242147
3.8200000000000	4.232376
3.8300000000000	4.222271
3.8400000000000	4.211841
3.8500000000000	4.201100
3.8600000000000	4.190059
3.8700000000000	4.178730
3.8800000000000	4.167126
3.8900000000000	4.155259
3.9000000000000	4.143141
3.9100000000000	4.130785
3.9200000000000	4.118201
3.9300000000000	4.105403
3.9400000000000	4.092402
3.9500000000000	4.079209
3.9600000000000	4.065837
3.9700000000000	4.052296
3.9800000000000	4.038598
3.9900000000000	4.024753
4.0000000000000	4.010772
4.0100000000000	3.996664
4.0200000000000	3.982441
4.0300000000000	3.968111
4.0400000000000	3.953685
4.0500000000000	3.939170
4.0600000000000	3.924577
4.0700000000000	3.909913
4.0800000000000	3.895186
4.0900000000000	3.880405
4.1000000000000	3.865577
4.1100000000000	3.850709
4.1200000000000	3.835809
4.1300000000000	3.820882
4.1400000000000	3.805936
4.1500000000000	3.790976
4.1600000000000	3.776008
4.1700000000000	3.761038
4.1800000000000	3.746071
4.1900000000000	3.731112
4.2000000000000	3.716167
4.2100000000000	3.701239
4.2200000000000	3.686332
4.2300000000000	3.671452
4.2400000000000	3.656601
4.2500000000000	3.641784
4.2600000000000	3.627004
4.2700000000000	3.612264
4.2800000000000	3.597568
4.2900000000000	3.582918
4.3000000000000	3.568316
4.3100000000000	3.553767
4.3200000000000	3.539272
4.3300000000000	3.524832
4.3400000000000	3.510452
4.3500000000000	3.496132
4.3600000000000	3.481874
4.3700000000000	3.467680
4.3800000000000	3.453552
4.3900000000000	3.439491
4.4000000000000	3.425498
4.4100000000000	3.411576
4.4200000000000	3.397724
4.4300000000000	3.383944
4.4400000000000	3.370238
4.4500000000000	3.356605
4.4600000000000	3.343048
4.4700000000000	3.329566
4.4800000000000	3.316160
4.4900000000000	3.302832
4.5000000000000	3.289580
4.5100000000000	3.276407
4.5200000000000	3.263312
4.5300000000000	3.250295
4.5400000000000	3.237358
4.5500000000000	3.224500
4.5600000000000	3.211721
4.5700000000000	3.199022
4.5800000000000	3.186403
4.5900000000000	3.173864
4.6000000000000	3.161404
4.6100000000000	3.149025
4.6200000000000	3.136725
4.6300000000000	3.124505
4.6400000000000	3.112365
4.6500000000000	3.100305
4.6600000000000	3.088323
4.6700000000000	3.076422
4.6800000000000	3.064599
4.6900000000000	3.052855
4.7000000000000	3.041190
4.7100000000000	3.029603
4.7200000000000	3.018094
4.7300000000000	3.006663
4.7400000000000	2.995309
4.7500000000000	2.984033
4.7600000000000	2.972833
4.7700000000000	2.961710
4.7800000000000	2.950663
4.7900000000000	2.939691
4.8000000000000	2.928795
4.8100000000000	2.917974
4.8200000000000	2.907227
4.8300000000000	2.896554
4.8400000000000	2.885955
4.8500000000000	2.875429
4.8600000000000	2.864976
4.8700000000000	2.854595
4.8800000000000	2.844285
4.8900000000000	2.834048
4.9000000000000	2.823881
4.9100000000000	2.813784
4.9200000000000	2.803758
4.9300000000000	2.793801
4.9400000000000	2.783913
4.9500000000000	2.774094
4.9600000000000	2.764343
4.9700000000000	2.754659
4.9800000000000	2.745043
4.9900000000000	2.735493
5.0000000000000	2.726009
5.0100000000000	2.716591
5.0200000000000	2.707238
5.0300000000000	2.697950
5.0400000000000	2.688725
5.0500000000000	2.679565
5.0600000000000	2.670468
5.0700000000000	2.661434
5.0800000000000	2.652461
5.0900000000000	2.643551
5.1000000000000	2.634702
5.1100000000000	2.625914
5.1200000000000	2.617186
5.1300000000000	2.608518
5.1400000000000	2.599909
5.1500000000000	2.591359
5.1600000000000	2.582868
5.1700000000000	2.574435
5.1800000000000	2.566059
